feat_list,hyper_param,fold,avg,std
0,5,15,269.8321412501321,246.0141721443738
0,5,17,250.52758062855338,262.16613839339465
0,5,19,251.00574343263298,261.4828145136201
0,5,21,242.66736522870227,269.36658350002693
0,6,3,339.9845819888786,202.01033788326305
0,6,5,316.74424382592866,193.7248351982546
0,6,7,292.4875131238206,268.15828536648655
0,6,9,290.35451433979296,235.22407108718133
0,6,11,281.6276145904034,247.15747943871102
0,6,13,274.1907280805013,258.8201343100588
0,6,15,272.9332049029788,261.19371760375657
0,6,17,253.0759742271885,275.5010561905236
0,6,19,252.80002727867856,276.2020561895432
0,6,21,245.91043771558148,283.55316656470393
0,7,3,346.09534926695216,204.1169512259383
0,7,5,314.7562351140683,197.77960515745136
0,7,7,288.82192038222513,268.090230832382
0,7,9,294.3852593043059,239.2389257212833
0,7,11,283.6118499230473,250.95070317358633
0,7,13,276.1938142803667,261.15218834257917
0,7,15,274.1114873130847,263.94694973967336
0,7,17,256.8208175547803,278.8352420118109
0,7,19,255.8327251881998,278.2338792239551
0,7,21,249.70341816568703,284.89846245046044
0,8,3,348.53973733192703,209.19454669347684
0,8,5,321.13085639413583,195.95920984427048
0,8,7,288.4677602432941,266.4220874528257
0,8,9,293.077600547713,242.95527559201605
0,8,11,286.4937465167719,254.4846604985389
0,8,13,276.31199361180495,263.84866324961394
0,8,15,274.0412275439176,267.1738860481652
0,8,17,259.53015846745535,281.5906307498539
0,8,19,258.5475670072919,279.66401648593654
0,8,21,250.7976697347615,286.9958743617141
0,9,3,351.2671974525137,212.45886181053316
0,9,5,325.52823297983696,201.8384598494533
0,9,7,291.82535490150735,272.46856947706806
0,9,9,298.16241597767373,241.63829943265966
0,9,11,286.8248365566248,254.08198276458737
0,9,13,277.0892537456848,265.1684877345809
0,9,15,273.420150321988,268.88986846364884
0,9,17,259.7141163552182,281.48273088844513
0,9,19,258.74078976121126,281.1338149876056
0,9,21,250.96538160124186,288.2931333246763
0,10,3,353.63075073739174,217.88058440525634
0,10,5,330.96492391893577,206.65090086148376
0,10,7,296.54568765090914,275.96609611625473
0,10,9,300.0161226340217,246.05847814302456
0,10,11,287.87174828067657,259.39266479518545
0,10,13,280.0051829082745,270.8803868334067
0,10,15,276.90012999122445,274.39741844963595
0,10,17,261.507498246458,285.9490307197594
0,10,19,260.85185295409013,287.126740665923
0,10,21,253.44390437194133,294.25436316172767
0,11,3,354.85184802324056,219.42521183905401
0,11,5,335.58905465146677,207.76969545069537
0,11,7,297.0744033541162,276.2201307885521
0,11,9,304.81110743493196,250.6836333592553
0,11,11,290.8623716832429,264.57115415065414
0,11,13,280.56221866566653,275.20748809777797
0,11,15,277.9563519000233,278.5399466975175
0,11,17,264.4017208849047,291.6194685112877
0,11,19,262.359670027522,291.1132438711481
0,11,21,254.47314403531917,298.33529974936886
0,12,3,356.50956920144034,218.3182062416476
0,12,5,338.29310042245794,209.29198364656665
0,12,7,298.60072120192126,279.6099155016712
0,12,9,306.4831451986947,253.20286155519725
0,12,11,295.6696602494073,266.39450275569544
0,12,13,284.5475486346493,277.8030376576643
0,12,15,280.73188801745033,282.3177204454227
0,12,17,268.3193215293207,293.6724250926724
0,12,19,265.32192764756735,294.376477310206
0,12,21,258.1709147856266,301.5750114807823
0,13,3,357.64771583039857,216.68820022881755
0,13,5,341.5558941078952,210.83731777747286
0,13,7,301.715231839964,280.9214802847641
0,13,9,309.8126958754278,255.3656491790196
0,13,11,297.66763079199137,269.61828223427585
0,13,13,286.1271069242374,280.65221979559084
0,13,15,281.9652137809359,284.96112068988907
0,13,17,269.9901916652945,296.41588766369995
0,13,19,269.90023377150226,296.35308515793844
0,13,21,261.58477657041146,303.8878425347785
0,14,3,359.11790723881796,218.1988636190063
0,14,5,345.37945904684545,211.53149333185482
0,14,7,304.4395546297516,283.7107967732476
0,14,9,310.5296600190468,258.4389216202655
0,14,11,299.7679138168821,271.50221317890333
0,14,13,288.8097638949603,282.53015751027345
0,14,15,284.4179785579391,286.9302681064993
0,14,17,271.3023047667644,299.3720631874984
0,14,19,270.4158217789624,299.01132929978024
0,14,21,262.25799464717954,306.4010422254997
0,15,3,361.8689131945368,220.2160120298922
0,15,5,344.47704024949223,212.11191628021243
0,15,7,304.7938613194443,284.894986869344
0,15,9,313.7456929474426,261.19203064131995
0,15,11,299.8934770311656,272.8175410376975
0,15,13,290.1664269547525,286.5605835802418
0,15,15,285.05375564798436,291.18158568595203
0,15,17,271.472482733284,302.736277190997
0,15,19,272.0060487388706,302.9096628241408
0,15,21,263.1819796596995,310.5763396420226
0,16,3,365.0245761543911,220.09783045219274
0,16,5,348.65440659118497,213.57967346371763
0,16,7,305.10479263733106,284.9399831843145
0,16,9,313.38014817292213,263.2605957402052
0,16,11,300.35864792959603,272.87551047616245
0,16,13,291.1809313354563,287.50725250150435
0,16,15,287.14477159598323,291.5908110853397
0,16,17,272.6020632618333,304.3034581405733
0,16,19,271.9298820867014,303.7166588908432
0,16,21,263.2264912062722,311.3040205797119
